City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodiak,US,2022-01-25 23:46:29,57.79,-152.4072,33.31,47,0,8.05
1,Hermanus,ZA,2022-01-25 23:46:29,-34.4187,19.2345,66.9,83,93,12.97
2,Khatanga,RU,2022-01-25 23:46:30,71.9667,102.5,0.0,85,43,15.28
3,Faanui,PF,2022-01-25 23:46:30,-16.4833,-151.75,80.46,78,93,13.67
4,Saint George,US,2022-01-25 23:46:30,37.1041,-113.5841,50.59,32,0,10.0
5,Punta Arenas,CL,2022-01-25 23:46:31,-53.15,-70.9167,51.91,50,40,26.46
6,Fazilka,IN,2022-01-25 23:46:31,30.4,74.0333,47.39,68,2,5.12
7,Oleksandrivka,UA,2022-01-25 23:46:31,48.9634,32.2349,16.0,90,71,6.22
8,Norman Wells,CA,2022-01-25 23:46:32,65.282,-126.8329,37.71,77,63,19.53
9,Longyearbyen,SJ,2022-01-25 23:42:31,78.2186,15.6401,15.64,62,40,19.57
10,Mataura,NZ,2022-01-25 23:44:13,-46.1927,168.8643,53.47,95,96,6.04
11,Rikitea,PF,2022-01-25 23:46:32,-23.1203,-134.9692,78.58,76,100,17.34
12,Bluff,NZ,2022-01-25 23:46:33,-46.6,168.3333,53.8,76,99,11.7
13,Mantua,IT,2022-01-25 23:46:33,45.1667,10.7833,41.43,90,0,5.01
14,Bredasdorp,ZA,2022-01-25 23:46:33,-34.5322,20.0403,65.52,77,100,1.14
15,Jamestown,US,2022-01-25 23:46:34,42.097,-79.2353,18.72,73,100,10.36
16,Hobart,AU,2022-01-25 23:41:45,-42.8794,147.3294,65.01,73,75,6.91
17,Hithadhoo,MV,2022-01-25 23:45:20,-0.6,73.0833,80.98,67,91,16.26
18,Puerto Madryn,AR,2022-01-25 23:46:35,-42.7692,-65.0385,63.66,63,0,24.32
19,Ushuaia,AR,2022-01-25 23:46:35,-54.8,-68.3,42.46,81,75,26.46
20,Puerto Ayora,EC,2022-01-25 23:46:36,-0.7393,-90.3518,74.35,83,65,6.49
21,Lagoa,PT,2022-01-25 23:46:37,39.05,-27.9833,58.62,81,92,8.9
22,Kjollefjord,NO,2022-01-25 23:46:37,70.9457,27.3465,30.51,68,100,27.31
23,Tasiilaq,GL,2022-01-25 23:46:37,65.6145,-37.6368,15.96,74,28,7.85
24,Bangangte,CM,2022-01-25 23:46:38,5.1409,10.5198,62.87,68,60,2.13
25,Pangkalanbuun,ID,2022-01-25 23:46:38,-2.6833,111.6167,78.48,87,100,4.07
26,Provideniya,RU,2022-01-25 23:45:19,64.3833,-173.3,-6.65,64,0,6.71
27,Geraldton,AU,2022-01-25 23:46:39,-28.7667,114.6,73.81,53,0,11.5
28,Arraial Do Cabo,BR,2022-01-25 23:46:39,-22.9661,-42.0278,76.96,88,0,13.8
29,Upernavik,GL,2022-01-25 23:43:37,72.7868,-56.1549,0.54,96,100,8.01
30,Taoudenni,ML,2022-01-25 23:46:40,22.6783,-3.9836,69.89,19,93,9.1
31,Avarua,CK,2022-01-25 23:43:06,-21.2078,-159.775,78.85,89,100,5.75
32,Gravdal,NO,2022-01-25 23:46:40,68.1214,13.5031,34.2,99,100,21.94
33,Souillac,MU,2022-01-25 23:46:41,-20.5167,57.5167,75.58,73,40,10.36
34,Lavrentiya,RU,2022-01-25 23:46:41,65.5833,-171.0,-20.02,87,55,5.41
35,Bambanglipuro,ID,2022-01-25 23:46:41,-7.95,110.2833,79.84,85,100,6.15
36,Sudak,UA,2022-01-25 23:46:42,44.85,34.9667,27.75,87,99,4.68
37,Ust-Nera,RU,2022-01-25 23:46:28,64.5667,143.2,-20.06,98,100,1.74
38,Wau,SS,2022-01-25 23:46:42,7.7029,27.9953,73.8,24,39,5.35
39,Nago,JP,2022-01-25 23:46:43,26.5881,127.9761,64.56,70,66,9.24
40,Muli,MV,2022-01-25 23:46:43,2.9167,73.5667,79.65,64,96,11.7
41,Warri,NG,2022-01-25 23:46:43,5.5167,5.75,76.3,91,12,0.45
42,Great Yarmouth,GB,2022-01-25 23:46:44,52.6083,1.7305,36.95,92,59,9.15
43,Eureka,US,2022-01-25 23:46:45,40.8021,-124.1637,58.68,80,0,1.99
44,Ankang,CN,2022-01-25 23:46:45,32.68,109.0172,39.4,93,100,3.71
45,Port Elizabeth,ZA,2022-01-25 23:46:45,-33.918,25.5701,71.1,88,75,11.5
46,Saskylakh,RU,2022-01-25 23:47:46,71.9167,114.0833,10.29,86,100,18.86
47,Atuona,PF,2022-01-25 23:47:46,-9.8,-139.0333,78.42,72,4,18.25
48,Busselton,AU,2022-01-25 23:47:46,-33.65,115.3333,64.09,61,1,11.74
49,New Norfolk,AU,2022-01-25 23:44:11,-42.7826,147.0587,64.65,64,100,1.01
50,Albany,US,2022-01-25 23:47:47,42.6001,-73.9662,27.18,69,65,1.01
51,Butaritari,KI,2022-01-25 23:47:48,3.0707,172.7902,81.86,79,47,17.07
52,Lebu,CL,2022-01-25 23:47:48,-37.6167,-73.65,58.89,85,0,15.1
53,Belmonte,BR,2022-01-25 23:47:48,-15.8631,-38.8828,77.5,80,100,9.17
54,Muravlenko,RU,2022-01-25 23:47:49,63.7898,74.523,-3.77,100,87,11.14
55,Ippy,CF,2022-01-25 23:47:49,6.2679,21.2247,76.42,23,89,5.7
56,Agirish,RU,2022-01-25 23:47:50,61.9247,63.0231,10.67,85,76,7.16
57,Yellowknife,CA,2022-01-25 23:43:52,62.456,-114.3525,1.42,89,40,11.5
58,Barrow,US,2022-01-25 23:47:50,71.2906,-156.7887,-5.78,77,75,18.41
59,Nishihara,JP,2022-01-25 23:47:51,26.1842,127.7558,63.68,73,20,5.75
60,Carnarvon,AU,2022-01-25 23:44:09,-24.8667,113.6333,77.07,73,0,13.8
61,Cape Town,ZA,2022-01-25 23:47:51,-33.9258,18.4232,68.41,76,0,5.01
62,Seoul,KR,2022-01-25 23:47:12,37.5683,126.9778,27.91,93,40,2.3
63,Nikolskoye,RU,2022-01-25 23:47:46,59.7035,30.7861,13.91,99,74,3.87
64,Bilma,NE,2022-01-25 23:47:52,18.6853,12.9164,57.06,24,0,17.36
65,Kaka,TM,2022-01-25 23:47:52,37.3482,59.6143,38.71,45,2,5.32
66,Tuktoyaktuk,CA,2022-01-25 23:47:52,69.4541,-133.0374,19.4,93,90,25.32
67,Nalut,LY,2022-01-25 23:47:53,30.3333,10.85,43.72,78,70,11.39
68,Tiksi,RU,2022-01-25 23:47:53,71.6872,128.8694,-7.33,94,100,10.67
69,Ambulu,ID,2022-01-25 23:47:54,-8.345,113.6058,79.38,87,100,2.71
70,San Patricio,US,2022-01-25 23:47:54,28.017,-97.5169,62.69,62,0,9.24
71,Constitucion,CL,2022-01-25 23:47:55,-35.3333,-72.4167,59.14,89,11,9.86
72,Pangody,RU,2022-01-25 23:47:55,65.85,74.4859,2.46,94,97,17.9
73,Airai,TL,2022-01-25 23:47:56,-8.9266,125.4092,68.07,71,95,3.74
74,Warangal,IN,2022-01-25 23:47:56,18.0,79.5833,58.19,55,1,6.69
75,Mount Isa,AU,2022-01-25 23:47:57,-20.7333,139.5,82.17,83,40,11.5
76,Port Augusta,AU,2022-01-25 23:47:57,-32.5,137.7667,88.7,41,0,3.02
77,Holme,DK,2022-01-25 23:47:58,56.1138,10.1725,42.66,91,99,15.68
78,Misratah,LY,2022-01-25 23:47:58,32.3754,15.0925,51.75,54,83,9.8
79,Fortuna,US,2022-01-25 23:47:58,40.5982,-124.1573,60.19,80,0,3.22
80,Chokurdakh,RU,2022-01-25 23:45:06,70.6333,147.9167,-32.58,100,100,7.27
81,Caiaponia,BR,2022-01-25 23:47:59,-16.9567,-51.8103,70.65,88,82,2.64
82,Lasa,IT,2022-01-25 23:47:53,46.6166,10.7002,45.86,62,1,6.06
83,Ribeira Grande,PT,2022-01-25 23:48:00,38.5167,-28.7,59.65,77,100,6.76
84,Hilo,US,2022-01-25 23:48:00,19.7297,-155.09,80.33,64,100,6.91
85,Polunochnoye,RU,2022-01-25 23:48:01,60.8697,60.4153,5.59,91,71,4.94
86,Boz,FR,2022-01-25 23:48:01,46.4071,4.9109,32.95,90,0,1.07
87,Davila,PH,2022-01-25 23:48:02,18.4726,120.5763,71.58,75,46,14.29
88,Lompoc,US,2022-01-25 23:48:03,34.6391,-120.4579,66.34,71,0,13.8
89,Sabalgarh,IN,2022-01-25 23:48:03,26.25,77.4,49.17,79,6,0.98
90,Acapulco,MX,2022-01-25 23:47:05,16.8634,-99.8901,80.67,59,0,8.88
91,Gobabis,NA,2022-01-25 23:48:03,-22.45,18.9667,71.89,45,45,8.01
92,Mar Del Plata,AR,2022-01-25 23:47:58,-38.0023,-57.5575,73.09,96,75,10.0
93,Ilheus,BR,2022-01-25 23:49:04,-14.7889,-39.0494,82.22,83,40,8.05
94,Broome,US,2022-01-25 23:49:05,42.2506,-75.833,23.0,78,20,1.99
95,Hofn,IS,2022-01-25 23:49:05,64.2539,-15.2082,35.19,54,1,13.82
96,Bethel,US,2022-01-25 23:49:06,41.3712,-73.414,35.04,64,56,4.0
